"id","subject","body","label"
"11","Alerta: sua senha expira em 24 horas — atualize já","Prezado usuário, sua senha corporativa expirará nas próximas 24 horas. Para não perder o acesso aos sistemas, clique em http://reset-senha-corp.ga/update e cadastre uma nova senha agora. Informe também seu token de segurança e data de nascimento para validação.","1"
"12","Relatório mensal de vendas — maio/2025","Segue em anexo o relatório consolidado de vendas referente ao mês de maio/2025. Os números mostram crescimento de 12% em relação ao mês anterior, puxado principalmente pelo segmento de e-commerce. Qualquer dúvida, estou à disposição. Att, Departamento Comercial.","0"
"13","Você tem uma herança pendente no valor de USD 4.500.000","Meu nome é Dr. Emmanuel Okafor, advogado em Lagos. Represento o espólio do falecido Sr. Ahmed Al-Rashid, que deixou uma herança de USD 4.500.000 sem herdeiros. Seu sobrenome coincide com o do falecido. Entre em contato urgentemente para darmos início ao processo de transferência. Discrição garantida.","1"
"14","Lembrete: consulta médica amanhã às 10h30","Olá! Passando para lembrar da sua consulta agendada para amanhã, dia 05/06, às 10h30, com o Dr. Ricardo Alves na Clínica Saúde Total. Caso precise reagendar, entre em contato pelo telefone (21) 2345-6789 com pelo menos 24 horas de antecedência. Boa consulta!","0"
"15","Oferta exclusiva: clique e ganhe um iPhone 15 grátis","Você foi selecionado para receber um iPhone 15 completamente GRÁTIS como parte de nossa promoção especial. Só hoje! Clique em http://iphone-gratis-promo.pw/resgatar e pague apenas o frete de R$ 29,90. Restam apenas 3 unidades disponíveis. Garanta o seu agora!","1"
"16","Ata da reunião de planejamento — 03/06/2025","Olá a todos, segue a ata da reunião de planejamento realizada ontem. Principais decisões: prazo de entrega do módulo de relatórios prorrogado para 20/06; alocação de dois desenvolvedores adicionais na sprint atual; próxima reunião agendada para 10/06 às 15h. Dúvidas, me avisem. Grato, Pedro.","0"
"17","Atenção: seu CPF foi utilizado para abrir um financiamento","Informamos que seu CPF foi utilizado para solicitar um financiamento de R$ 45.000,00 em uma instituição financeira parceira. Caso não reconheça esta operação, acesse http://cancelar-fraude-cpf.online/bloquear imediatamente e informe seus dados pessoais e bancários para cancelamento. Serviço de Proteção ao Crédito.","1"
"18","Boas-vindas ao time — apresentação da nova colaboradora","Olá equipe! É com grande alegria que apresentamos Fernanda Souza, que se junta ao nosso time de marketing a partir de hoje. A Fernanda tem mais de 8 anos de experiência em marketing digital e vem para reforçar nossas iniciativas de crescimento. Vamos dar as boas-vindas a ela! Abraços, RH.","0"
"19","Prêmio loteria federal — você ganhou!","PARABÉNS! Seu número de CPF foi contemplado na Loteria Federal com o prêmio de R$ 128.450,00. Para receber, ligue para 0800-XXX-XXXX e forneça seus dados bancários ao nosso atendente. Taxa de processamento: R$ 150,00 (reembolsada junto ao prêmio). Válido por 72 horas.","1"
"20","Atualização do sistema de RH — novo portal de benefícios","Prezados colaboradores, informamos que o portal de benefícios foi atualizado. A partir de 01/07, todas as solicitações de reembolso e férias deverão ser feitas pelo novo sistema. O acesso é feito com o mesmo login e senha corporativos. Manual do usuário disponível na intranet. Dúvidas: rh@empresa.com.br.","0"
"21","Seu Netflix foi cancelado — reative agora","Sua assinatura Netflix foi cancelada por falha no pagamento. Para continuar assistindo sem interrupções, atualize seu método de pagamento em: http://netflix-reativacao.xyz/pagamento. Insira os dados do seu novo cartão de crédito. Se não agir em 48h, sua conta será encerrada definitivamente.","1"
"22","Confirmação de agendamento — manutenção do ar-condicionado","Bom dia! Confirmamos o agendamento da manutenção preventiva dos aparelhos de ar-condicionado para o dia 12/06, das 8h às 12h. Nossa equipe técnica estará no local para realizar o serviço. Em caso de necessidade de reagendamento, entre em contato pelo (11) 4567-8901. Atenciosamente, TempClima Serviços.","0"
"23","Ação imediata necessária: dívida em seu nome","COMUNICADO URGENTE: Identificamos uma dívida de R$ 3.240,00 em seu nome que pode resultar em protesto em cartório e negativação no SPC/Serasa em até 48 horas. Para resolver a pendência com desconto especial, acesse http://quita-divida-agora.top/negociar e insira seus dados. Departamento Jurídico.","1"
"24","Transferência PIX recebida — confirme seus dados","Você recebeu uma transferência PIX de R$ 1.500,00. Porém, para que o valor seja creditado em sua conta, é necessário validar sua chave PIX. Acesse http://pix-validacao-chave.cf/confirmar e informe seu CPF, senha do banco e código de segurança do cartão. Banco Central do Brasil.","1"
"25","Comprovante de pagamento — fatura de energia elétrica","Prezado cliente, segue o comprovante de pagamento da fatura de energia elétrica referente ao mês de maio/2025, no valor de R$ 187,45, debitado automaticamente de sua conta corrente em 03/06/2025. Para dúvidas ou contestações, acesse nosso portal ou ligue 0800-XXX-XXXX. Distribuidora de Energia.","0"
"26","Seu Mercado Pago foi bloqueado por segurança","Detectamos uma tentativa de acesso não autorizado à sua conta Mercado Pago. Por sua segurança, bloqueamos temporariamente sua conta. Desbloqueie agora em http://mercadopago-desbloqueio.online/verificar informando seus dados de acesso, CPF e número do cartão vinculado. Equipe Mercado Pago.","1"
"27","Proposta comercial — renovação de contrato","Prezado Sr. Ribeiro, conforme combinado em nossa reunião de 28/05, encaminhamos em anexo a proposta de renovação do contrato de manutenção de sistemas pelo período de 12 meses. Os valores foram ajustados conforme o índice IPCA acumulado. Aguardamos seu retorno para eventuais negociações. Atenciosamente, Comercial TechSol.","0"
"28","ALERTA: Vírus detectado no seu dispositivo — aja agora!","ATENÇÃO! Um vírus foi detectado no seu dispositivo. Seus arquivos estão em risco! Clique aqui IMEDIATAMENTE: http://antivirus-protecao-urgente.ru/instalar para baixar nossa proteção gratuita e remover a ameaça. Não feche esta janela! Seu sistema será bloqueado em 5 minutos se você não agir agora. Suporte Microsoft.","1"
"29","Aprovação de férias — período 14/07 a 28/07","Olá Roberto, sua solicitação de férias para o período de 14/07 a 28/07/2025 foi aprovada pelo seu gestor. As informações serão registradas no sistema de RH e o pagamento proporcional será processado na folha de junho. Em caso de dúvidas, entre em contato com o RH. Boas férias!","0"
"30","Entrega falhou — agende uma nova data de entrega","Tentamos entregar seu pedido hoje, mas não encontramos ninguém no endereço. Para agendar uma nova entrega, acesse http://agendamento-entrega-rapida.ml/reagendar e confirme seu endereço completo e número de documento. Taxa de reagendamento: R$ 12,90. Transportadora Nacional.","1"
"31","Aniversário de empresa — cardápio do almoço especial","Equipe, para comemorar os 15 anos da empresa, preparamos um almoço especial amanhã no refeitório. O cardápio inclui opções vegetarianas e sem glúten. O evento começa às 12h e vai até às 14h. A presença de todos é muito bem-vinda! Aguardamos vocês. Comitê de Eventos.","0"
"32","Pesquisa de satisfação — atendimento ao cliente","Prezado cliente, gostaríamos de saber como foi sua experiência com nosso atendimento no chamado #78234 encerrado em 01/06. Por favor, avalie nosso suporte acessando https://pesquisa.empresa.com.br/satisfacao. Sua opinião é fundamental para melhorarmos nossos serviços. O link expira em 7 dias. Obrigado!","0"
"33","Documentos para reunião com o cliente amanhã","Oi time, lembrem de trazer os seguintes documentos para a reunião de amanhã com o cliente: apresentação do projeto atualizada; cronograma detalhado do Q3; relatório de progresso do mês. A reunião começa às 9h na sede do cliente. Endereço no calendário. Até amanhã!","0"
"34","AVISO: Sua declaração de IR está irregular — regularize já","RECEITA FEDERAL DO BRASIL — AVISO URGENTE: Identificamos inconsistências na sua declaração de Imposto de Renda 2024. Para regularizar sua situação e evitar multa de R$ 4.500,00, acesse http://receita-federal-regularizacao.xyz/declaracao e envie os documentos solicitados com seu CPF e senha do e-CAC.","1"
"35","Material de onboarding — novo colaborador","Seja bem-vindo à empresa! Em anexo você encontra o kit de onboarding com as informações essenciais para seus primeiros dias: política de benefícios, mapa do escritório, contatos importantes e o guia de boas práticas. Qualquer dúvida, procure o RH na sala 205 ou pelo ramal 4001. Estamos felizes em tê-lo conosco!","0"
"36","Seu cartão de crédito foi bloqueado — desbloqueie agora","Prezado titular, por medida de segurança bloqueamos seu cartão final 4417 após uma compra suspeita no valor de R$ 2.890,00. Para desbloquear e contestar a transação, acesse http://desbloqueio-cartao-seguro.xyz/validar e informe o número completo do cartão, validade e código CVV. Central de Atendimento ao Cliente.","1"
"37","Cobrança em atraso — boleto vence hoje","Identificamos um boleto em aberto em seu CPF no valor de R$ 612,30 com vencimento hoje. Para evitar juros e inscrição nos órgãos de proteção ao crédito, gere a segunda via atualizada em http://segunda-via-boleto-urgente.top/gerar e efetue o pagamento ainda hoje. Setor de Cobranças.","1"
"38","Atualização de cadastro do INSS obrigatória","COMUNICADO INSS: Todos os beneficiários devem atualizar o cadastro até 10/06 sob risco de suspensão do benefício. Realize a prova de vida digital em http://inss-prova-de-vida.ml/atualizar informando número do benefício, CPF e senha do Meu INSS. Instituto Nacional do Seguro Social.","1"
"39","Sua fatura do cartão está disponível — pagamento pendente","Seu cartão tem uma fatura vencendo com saldo devedor de R$ 4.120,00. Regularize agora com 70% de desconto exclusivo válido apenas nas próximas 3 horas. Acesse http://negociacao-fatura-cartao.cf/desconto e confirme seus dados bancários para liberar a oferta. Departamento Financeiro.","1"
"40","Acesso liberado ao sistema de ponto eletrônico","Olá! Seu cadastro no novo sistema de ponto eletrônico foi concluído com sucesso. A partir de segunda-feira, os registros de entrada e saída deverão ser feitos pelo aplicativo corporativo. O tutorial de uso está disponível na intranet, na seção Recursos Humanos. Bom trabalho! Equipe de TI.","0"
"41","Saque não autorizado detectado na sua conta","ALERTA DE SEGURANÇA: Detectamos uma tentativa de saque de R$ 1.800,00 na sua conta a partir de um caixa eletrônico em outra cidade. Se não foi você, cancele a operação imediatamente em http://cancelar-saque-banco.online/bloquear informando agência, conta e senha de 6 dígitos. Equipe Antifraude.","1"
"42","Convite para confraternização de fim de ano da equipe","Pessoal, já estamos organizando a confraternização de fim de ano! A data prevista é 13 de dezembro, em um restaurante perto do escritório. Para fecharmos o número de convidados e o orçamento, respondam a este e-mail confirmando presença e se levarão acompanhante até dia 30/11. Comitê de Eventos.","0"
"43","Atualização da política de privacidade da empresa","Prezados colaboradores, informamos que nossa política de privacidade e proteção de dados foi atualizada para se adequar às novas diretrizes da LGPD. O documento completo está disponível na intranet, na seção Compliance. Pedimos que façam a leitura até o dia 20/06. Em caso de dúvidas, contate o jurídico. Atenciosamente, Departamento Jurídico.","0"
"44","Recadastramento de e-mail corporativo necessário","Caro usuário, devido a uma migração de servidores, sua caixa de e-mail corporativa será desativada em 24 horas caso não seja revalidada. Para manter o acesso, confirme suas credenciais em http://webmail-revalidacao-corp.ga/login informando usuário e senha atuais. Equipe de Tecnologia da Informação.","1"
"45","Agenda da viagem a trabalho — São Paulo","Olá Mariana, segue a agenda da viagem a São Paulo na próxima semana. Embarque dia 16/06 às 7h40 (voo confirmado), check-in no hotel a partir das 14h, e reunião com o cliente às 16h no mesmo dia. O retorno está marcado para 18/06 à noite. Qualquer ajuste, me avise. Abraços, Secretaria Executiva.","0"
"46","Resgate seus pontos antes que expirem — última chance","Atenção! Você possui 48.500 pontos no programa de fidelidade que expiram em 24 horas. Resgate agora por dinheiro na conta acessando http://resgate-pontos-fidelidade.pw/trocar e informando seus dados bancários e senha de acesso. Não perca seus pontos acumulados! Programa de Vantagens.","1"
"47","Resumo semanal do projeto — semana de 02/06","Oi equipe, segue o resumo da semana: a integração com a API de pagamentos foi concluída e está em testes; o time de design entregou os protótipos da nova tela inicial; o QA iniciou os testes de regressão da versão 2.3. Nenhum impedimento reportado. Bom fim de semana! Equipe de Desenvolvimento.","0"
"48","Documento compartilhado — planilha de orçamento Q3","Oi pessoal, compartilhei a planilha de orçamento do Q3 no Google Drive e vocês devem receber uma notificação do próprio Google. Por favor, preencham as estimativas de cada área até sexta-feira. Se tiverem qualquer problema de acesso, me avisem. Obrigado, Juliana.","0"
"49","Confirmação de inscrição no treinamento de segurança","Olá! Sua inscrição no treinamento obrigatório de Segurança da Informação foi confirmada. O curso acontecerá no dia 19/06, das 14h às 17h, na sala de treinamento do 4º andar. Lembre-se de levar seu crachá. A presença será registrada para fins de certificação. Equipe de Treinamento e Desenvolvimento.","0"
"50","Reembolso disponível — confirme seus dados bancários","Prezado cliente, identificamos que você tem um reembolso de R$ 327,80 disponível referente a uma cobrança indevida. Para receber o valor, confirme seus dados bancários em http://reembolso-cliente-online.tk/receber informando banco, agência, conta e CPF. O prazo para resgate é de 48 horas. Central de Reembolsos.","1"
