"id","subject","body","label"
"33","Lunch & learn: introduction to data visualization","Hi all, we're hosting a lunch & learn session next Thursday at noon in conference room B on the basics of data visualization. Bring your lunch and your questions! No prior experience needed. Pizza will be provided for in-person attendees, and a recording will be shared afterward. Hope to see you there! Learning & Development.","0"
"34","Your domain is about to expire — renew immediately","Final Reminder: Your domain registration expires in 2 days. To avoid losing your website and email services, renew now at http://domain-renewal-center.cc/pay. Enter your credit card details to process the renewal. If the domain expires, it may be purchased by someone else and your services will be permanently lost. Domain Services.","1"
"35","Photos from the team offsite are ready","Hey everyone! The photos from last week's team offsite are now uploaded to the shared company drive in the Events folder. Feel free to download your favorites. A big thank you to everyone who helped organize the trip — it was a great couple of days. Let's do it again soon! Best, Events Committee.","0"
"36","DHL: customs fee required to release your shipment","Dear Customer, your international shipment is being held at customs and requires a fee of $3.50 before it can be released for delivery. Please pay the outstanding amount at http://dhl-customs-clearance.ml/pay within 72 hours to avoid your parcel being returned to the sender. Tracking number: DH8842910. DHL Express.","1"
"37","New laptops have arrived — pickup schedule","Hi team, the new laptops for the engineering department have arrived. To minimize disruption, we've set up a staggered pickup schedule by team — please check the attached spreadsheet for your assigned time slot in IT (room 110). Bring your current device for data migration. Thanks for your patience! IT Operations.","0"
"38","LinkedIn: someone is trying to access your account","We detected a login attempt to your LinkedIn account from an unrecognized location. For your security, we've temporarily restricted access. To restore your account, please confirm it's you at http://linkedin-account-secure.cc/verify by entering your email and password. If you don't act within 24 hours, your profile will be deactivated.","1"
"39","Customer feedback summary — Q2 highlights","Hi team, sharing a summary of customer feedback from Q2. Overall satisfaction is up 8 points, with customers praising our faster response times. The main area for improvement remains the mobile checkout flow. Full details and verbatim comments are in the attached report. Great work, everyone! Customer Success.","0"
"40","Verify your Netflix payment to continue watching","Dear Netflix Member, we're having trouble with your current billing information. To avoid interruption to your service, please update your payment details at http://netflix-billing-update.cc/account. Sign in and confirm your card number, expiration date, and security code. Your membership will be cancelled if not updated within 48 hours.","1"
"41","Save the date: company holiday party — December 12","Hello everyone, mark your calendars! Our annual company holiday party will be held on December 12 at the Grand Hall downtown, starting at 7 PM. There will be dinner, music, and an awards ceremony. Plus-ones are welcome. A formal invitation with RSVP details will follow next month. Looking forward to celebrating with you all!","0"
"42","Action required: your password will expire today","IT Notice: Your corporate password expires today. To maintain uninterrupted access to company systems, reset your password now at http://corp-password-reset.ga/update. You will need to confirm your current username, password, and employee ID. Failure to update will lock you out of all systems. IT Helpdesk.","1"
"43","Meeting rescheduled: client call moved to 2 PM","Hi all, quick heads-up that the client call originally scheduled for 11 AM tomorrow has been moved to 2 PM at the client's request. The agenda and dial-in details remain the same — I've updated the calendar invite accordingly. Please let me know if the new time causes any conflicts. Thanks, Megan.","0"
"44","Receipt for your recent charity donation","Dear Supporter, thank you for your generous donation of $120 to our annual education fund. Your official tax-deductible receipt is attached to this email as a PDF for your records. If you need any changes to the receipt or have questions about your contribution, please reply to this email or call our donations office at (415) 555-0142. With gratitude, The Donations Office.","0"
"45","Your monthly bank statement is now available","Dear Customer, your bank statement for May is now available in online banking. To view it, please log in to your account through our official website or mobile app. For your security, we will never ask you to confirm your password or card details by email. If you have questions, call the number on the back of your card. Customer Service.","0"
"46","Win a free vacation to the Bahamas — limited spots","Congratulations! You've qualified for a complimentary 5-day, 4-night vacation package to the Bahamas. To secure your reservation, confirm your booking and pay the $59 processing fee at http://dream-vacation-claim.pw/book. This exclusive offer is available to a limited number of winners and expires in 24 hours. Don't miss out!","1"
"47","IT maintenance window this weekend","Hi all, please be aware that we have a scheduled IT maintenance window this Saturday from 10 PM to 2 AM. During this time, the VPN and internal file servers will be intermittently unavailable. No action is required on your part. We apologize for any inconvenience and will confirm once services are fully restored. IT Operations.","0"
"48","Your Amazon order could not be processed","Dear Customer, there was a problem processing the payment for your recent Amazon order #114-7783920. To prevent cancellation, please update your payment method at http://amazon-order-payment.cc/update by re-entering your login and card details. If we don't receive an update within 12 hours, your order will be cancelled. Amazon Customer Service.","1"
"49","Thank you for attending our webinar","Hi, thank you for joining our webinar on cloud security best practices yesterday! As promised, here's the recording link and the slide deck, both hosted on our official site. We've also included a list of the resources mentioned during the Q&A. We hope you found it valuable and look forward to seeing you at future events. The Events Team.","0"
"50","Reactivate your suspended Instagram account","Your Instagram account has been suspended for violating our community guidelines. If you believe this was a mistake, you can appeal within 24 hours. To verify your identity and reactivate your account, please confirm your details at http://instagram-appeal-center.net/verify, including your username, password, and email. Instagram Support Team.","1"
