"id","subject","body","label"
"11","Alerta: sua senha expira em 24 horas — atualize já","Prezado usuário, sua senha corporativa expirará nas próximas 24 horas. Para não perder o acesso aos sistemas, clique em http://reset-senha-corp.ga/update e cadastre uma nova senha agora. Informe também seu token de segurança e data de nascimento para validação.","1"
"12","Relatório mensal de vendas — maio/2025","Segue em anexo o relatório consolidado de vendas referente ao mês de maio/2025. Os números mostram crescimento de 12% em relação ao mês anterior, puxado principalmente pelo segmento de e-commerce. Qualquer dúvida, estou à disposição. Att, Departamento Comercial.","0"
"13","Você tem uma herança pendente no valor de USD 4.500.000","Meu nome é Dr. Emmanuel Okafor, advogado em Lagos. Represento o espólio do falecido Sr. Ahmed Al-Rashid, que deixou uma herança de USD 4.500.000 sem herdeiros. Seu sobrenome coincide com o do falecido. Entre em contato urgentemente para darmos início ao processo de transferência. Discrição garantida.","1"
"14","Lembrete: consulta médica amanhã às 10h30","Olá! Passando para lembrar da sua consulta agendada para amanhã, dia 05/06, às 10h30, com o Dr. Ricardo Alves na Clínica Saúde Total. Caso precise reagendar, entre em contato pelo telefone (21) 2345-6789 com pelo menos 24 horas de antecedência. Boa consulta!","0"
"15","Oferta exclusiva: clique e ganhe um iPhone 15 grátis","Você foi selecionado para receber um iPhone 15 completamente GRÁTIS como parte de nossa promoção especial. Só hoje! Clique em http://iphone-gratis-promo.pw/resgatar e pague apenas o frete de R$ 29,90. Restam apenas 3 unidades disponíveis. Garanta o seu agora!","1"
"16","Ata da reunião de planejamento — 03/06/2025","Olá a todos, segue a ata da reunião de planejamento realizada ontem. Principais decisões: prazo de entrega do módulo de relatórios prorrogado para 20/06; alocação de dois desenvolvedores adicionais na sprint atual; próxima reunião agendada para 10/06 às 15h. Dúvidas, me avisem. Grato, Pedro.","0"
"17","FINAL NOTICE: Your account will be permanently deleted","Dear Customer, this is your FINAL NOTICE. Your account has been flagged for suspicious activity. You must verify your identity within the next 6 hours to avoid permanent deletion. Click here: http://account-verify-secure.net/confirm and provide your full name, SSN, and credit card number. Account Security Team.","1"
"18","Team lunch this Friday — suggestions?","Hi everyone! We're planning a team lunch this Friday to celebrate Q2 closing. Do you have any restaurant preferences? I'm thinking somewhere near the office that can accommodate 12 people. Please reply by Wednesday so I can make a reservation. Thanks, Sarah","0"
"19","Your PayPal account has been limited","We've noticed unusual activity in your PayPal account. Your account access has been temporarily limited. To restore full access, please verify your information at: http://paypal-account-restore.cc/verify — Enter your email, password, and credit card details. Failure to verify within 24 hours will result in permanent account suspension. PayPal Security Team.","1"
"20","Project update: Q2 milestones achieved","Hi team, great news! We've successfully hit all our Q2 milestones ahead of schedule. The client demo went very well yesterday and they've expressed interest in expanding the contract. I'll share the full report by end of week. Let's keep up the momentum! Best, Alex","0"
"21","Atenção: seu CPF foi utilizado para abrir um financiamento","Informamos que seu CPF foi utilizado para solicitar um financiamento de R$ 45.000,00 em uma instituição financeira parceira. Caso não reconheça esta operação, acesse http://cancelar-fraude-cpf.online/bloquear imediatamente e informe seus dados pessoais e bancários para cancelamento. Serviço de Proteção ao Crédito.","1"
"22","Boas-vindas ao time — apresentação da nova colaboradora","Olá equipe! É com grande alegria que apresentamos Fernanda Souza, que se junta ao nosso time de marketing a partir de hoje. A Fernanda tem mais de 8 anos de experiência em marketing digital e vem para reforçar nossas iniciativas de crescimento. Vamos dar as boas-vindas a ela! Abraços, RH.","0"
"23","Prêmio loteria federal — você ganhou!","PARABÉNS! Seu número de CPF foi contemplado na Loteria Federal com o prêmio de R$ 128.450,00. Para receber, ligue para 0800-XXX-XXXX e forneça seus dados bancários ao nosso atendente. Taxa de processamento: R$ 150,00 (reembolsada junto ao prêmio). Válido por 72 horas.","1"
"24","Atualização do sistema de RH — novo portal de benefícios","Prezados colaboradores, informamos que o portal de benefícios foi atualizado. A partir de 01/07, todas as solicitações de reembolso e férias deverão ser feitas pelo novo sistema. O acesso é feito com o mesmo login e senha corporativos. Manual do usuário disponível na intranet. Dúvidas: rh@empresa.com.br.","0"
"25","Verify your Microsoft account — unusual sign-in activity","Microsoft Account Team: We detected a sign-in to your Microsoft account from an unrecognized device. Location: Ukraine. If this wasn't you, click http://microsoft-account-verify.ml/secure to secure your account immediately. You'll need to provide your current password and recovery phone number.","1"
"26","Invitation to review our paper before submission","Dear colleague, I hope this message finds you well. We would be honored if you could review our manuscript titled Deep Learning Approaches for Network Intrusion Detection before we submit it to the journal. The paper is attached. We value your expertise and look forward to your feedback. Kind regards, Dr. Martins.","0"
"27","Seu Netflix foi cancelado — reative agora","Sua assinatura Netflix foi cancelada por falha no pagamento. Para continuar assistindo sem interrupções, atualize seu método de pagamento em: http://netflix-reativacao.xyz/pagamento. Insira os dados do seu novo cartão de crédito. Se não agir em 48h, sua conta será encerrada definitivamente.","1"
"28","Confirmação de agendamento — manutenção do ar-condicionado","Bom dia! Confirmamos o agendamento da manutenção preventiva dos aparelhos de ar-condicionado para o dia 12/06, das 8h às 12h. Nossa equipe técnica estará no local para realizar o serviço. Em caso de necessidade de reagendamento, entre em contato pelo (11) 4567-8901. Atenciosamente, TempClima Serviços.","0"
"29","Ação imediata necessária: dívida em seu nome","COMUNICADO URGENTE: Identificamos uma dívida de R$ 3.240,00 em seu nome que pode resultar em protesto em cartório e negativação no SPC/Serasa em até 48 horas. Para resolver a pendência com desconto especial, acesse http://quita-divida-agora.top/negociar e insira seus dados. Departamento Jurídico.","1"
"30","Feedback request: please complete our survey","Hello! Thank you for using our services this past quarter. We'd love to hear your thoughts through our 5-minute survey. Your feedback helps us improve. Survey link: https://surveys.ourcompany.com/q3-feedback (expires in 14 days). As a thank you, you'll receive 10% off your next purchase. Best regards, Customer Experience Team.","0"
"31","Transferência PIX recebida — confirme seus dados","Você recebeu uma transferência PIX de R$ 1.500,00. Porém, para que o valor seja creditado em sua conta, é necessário validar sua chave PIX. Acesse http://pix-validacao-chave.cf/confirmar e informe seu CPF, senha do banco e código de segurança do cartão. Banco Central do Brasil.","1"
"32","Comprovante de pagamento — fatura de energia elétrica","Prezado cliente, segue o comprovante de pagamento da fatura de energia elétrica referente ao mês de maio/2025, no valor de R$ 187,45, debitado automaticamente de sua conta corrente em 03/06/2025. Para dúvidas ou contestações, acesse nosso portal ou ligue 0800-XXX-XXXX. Distribuidora de Energia.","0"
"33","You've been selected for our beta program — claim your reward","Congratulations! You've been randomly selected to participate in our exclusive beta testing program. As a reward, you'll receive a $500 Amazon gift card. To claim: visit http://amazon-gift-claim.pw/beta and enter your Amazon login credentials and shipping address. Offer expires in 12 hours!","1"
"34","Weekly standup notes — week of June 2","Hi all, sharing notes from this week's standups. Key updates: backend team completed the authentication refactor; design finalized mockups for the new dashboard; QA started regression testing on v2.3. No blockers reported. See you all Monday! Cheers, Dev Team.","0"
"35","Seu Mercado Pago foi bloqueado por segurança","Detectamos uma tentativa de acesso não autorizado à sua conta Mercado Pago. Por sua segurança, bloqueamos temporariamente sua conta. Desbloqueie agora em http://mercadopago-desbloqueio.online/verificar informando seus dados de acesso, CPF e número do cartão vinculado. Equipe Mercado Pago.","1"
"36","Proposta comercial — renovação de contrato","Prezado Sr. Ribeiro, conforme combinado em nossa reunião de 28/05, encaminhamos em anexo a proposta de renovação do contrato de manutenção de sistemas pelo período de 12 meses. Os valores foram ajustados conforme o índice IPCA acumulado. Aguardamos seu retorno para eventuais negociações. Atenciosamente, Comercial TechSol.","0"
"37","IRS: Your tax refund is ready — verify your identity","IRS Notice: You have a pending tax refund of $2,847.00. To receive your refund, you must verify your identity immediately at http://irs-refund-verify.net/claim. Provide your Social Security Number, date of birth, and bank account information. Failure to act within 48 hours will void your refund.","1"
"38","Reminder: expense reports due by June 10","Hi team, just a friendly reminder that all expense reports for May must be submitted by June 10th. Please use the new template available on the shared drive and attach all receipts. Reports submitted after the deadline may not be reimbursed in the current cycle. Finance Team.","0"
"39","ALERTA: Vírus detectado no seu dispositivo — aja agora!","ATENÇÃO! Um vírus foi detectado no seu dispositivo. Seus arquivos estão em risco! Clique aqui IMEDIATAMENTE: http://antivirus-protecao-urgente.ru/instalar para baixar nossa proteção gratuita e remover a ameaça. Não feche esta janela! Seu sistema será bloqueado em 5 minutos se você não agir agora. Suporte Microsoft.","1"
"40","Aprovação de férias — período 14/07 a 28/07","Olá Roberto, sua solicitação de férias para o período de 14/07 a 28/07/2025 foi aprovada pelo seu gestor. As informações serão registradas no sistema de RH e o pagamento proporcional será processado na folha de junho. Em caso de dúvidas, entre em contato com o RH. Boas férias!","0"
"41","Entrega falhou — agende uma nova data de entrega","Tentamos entregar seu pedido hoje, mas não encontramos ninguém no endereço. Para agendar uma nova entrega, acesse http://agendamento-entrega-rapida.ml/reagendar e confirme seu endereço completo e número de documento. Taxa de reagendamento: R$ 12,90. Transportadora Nacional.","1"
"42","Aniversário de empresa — cardápio do almoço especial","Equipe, para comemorar os 15 anos da empresa, preparamos um almoço especial amanhã no refeitório. O cardápio inclui opções vegetarianas e sem glúten. O evento começa às 12h e vai até às 14h. A presença de todos é muito bem-vinda! Aguardamos vocês. Comitê de Eventos.","0"
"43","Sua conta Google será encerrada em 72 horas","Google Security Alert: Due to a violation of our Terms of Service, your Google account will be permanently closed in 72 hours. To appeal this decision and restore your account, visit http://google-account-appeal.tk/restore and provide your current password, phone number, and payment method on file. Google Trust and Safety.","1"
"44","Pesquisa de satisfação — atendimento ao cliente","Prezado cliente, gostaríamos de saber como foi sua experiência com nosso atendimento no chamado #78234 encerrado em 01/06. Por favor, avalie nosso suporte acessando https://pesquisa.empresa.com.br/satisfacao. Sua opinião é fundamental para melhorarmos nossos serviços. O link expira em 7 dias. Obrigado!","0"
"45","Crypto investment — guaranteed 300% returns in 30 days","Hi, I'm Michael Chen, a crypto analyst with 15 years of experience. My proprietary algorithm has generated consistent returns of 300% for my clients. I'm opening limited spots for new investors. Minimum investment: $500 in Bitcoin. Send to wallet: 1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2. Returns guaranteed or full refund.","1"
"46","Documentos para reunião com o cliente amanhã","Oi time, lembrem de trazer os seguintes documentos para a reunião de amanhã com o cliente: apresentação do projeto atualizada; cronograma detalhado do Q3; relatório de progresso do mês. A reunião começa às 9h na sede do cliente. Endereço no calendário. Até amanhã!","0"
"47","AVISO: Sua declaração de IR está irregular — regularize já","RECEITA FEDERAL DO BRASIL — AVISO URGENTE: Identificamos inconsistências na sua declaração de Imposto de Renda 2024. Para regularizar sua situação e evitar multa de R$ 4.500,00, acesse http://receita-federal-regularizacao.xyz/declaracao e envie os documentos solicitados com seu CPF e senha do e-CAC.","1"
"48","Material de onboarding — novo colaborador","Seja bem-vindo à empresa! Em anexo você encontra o kit de onboarding com as informações essenciais para seus primeiros dias: política de benefícios, mapa do escritório, contatos importantes e o guia de boas práticas. Qualquer dúvida, procure o RH na sala 205 ou pelo ramal 4001. Estamos felizes em tê-lo conosco!","0"
"49","Account suspended: confirm your identity to reactivate","Dear User, your account has been suspended due to multiple failed login attempts. To reactivate, you must confirm your identity within 24 hours. Click here: http://account-reactivate-now.cc/confirm and provide your username, password, date of birth, and the last 4 digits of your SSN. Security Operations Center.","1"
"50","Shared document: Q3 planning spreadsheet","Hi everyone, I've shared the Q3 planning spreadsheet on Google Drive. You should receive a notification from Google. The link in that notification is the correct one to use. Please add your team's budget estimates by end of day Friday. Let me know if you have any trouble accessing it. Thanks, Jamie.","0"
